Wavelength	Reflectance
334.421	0.03954027703048225
334.5891	0.04141170823277017
334.7573	0.03137906591431984
334.9254	0.02418989745146524
335.0935	0.031499118532345764
335.2616	0.04064459048623129
335.4297	0.022228733705939287
335.5978	0.03361950681025585
335.7659	0.038495097137612705
335.934	0.03064622450685643
336.1021	0.04698003487043416
336.2701	0.036633380845100844
336.4382	0.04814284782879661
336.6063	0.0424496528831362
336.7744	0.040932479759556606
336.9424	0.053583936331402855
337.1105	0.04552323631352365
337.2785	0.05824482642474148
337.4466	0.04472649147459763
337.6146	0.039670082047046536
337.7827	0.04380383630598824
337.9507	0.04220918593647679
338.1187	0.04357319085341097
338.2867	0.02742708138571101
338.4548	0.03874793365512028
338.6228	0.03638448121117056
338.7908	0.019307801721965525
338.9588	0.031717201950123786
339.1268	0.02584769088408283
339.2948	0.03367521413429029
339.4628	0.04534364306898501
339.6308	0.034316126602088194
339.7988	0.033338853954535425
339.9667	0.033332092851181466
340.1347	0.03386093855702141
340.3027	0.02660498326805829
340.4707	0.0371377931154737
340.6386	0.037519628873734195
340.8066	0.022225103754307206
340.9745	0.02317100946968206
341.1425	0.031825892114445545
341.3104	0.036489439554584155
341.4784	0.035903640184169694
341.6463	0.02728845145229242
341.8142	0.03766635288293493
341.9821	0.023380130688428015
342.1501	0.030898125910079
342.318	0.0323419195057993
342.4859	0.032123044442502635
342.6538	0.034855882216976636
342.8217	0.029557379053308856
342.9896	0.0329029541468165
343.1575	0.027048811285102142
343.3254	0.04225224722507817
343.4933	0.03452064898489038
343.6612	0.03062699725779581
343.829	0.0323775505433508
343.9969	0.03856297400475248
344.1648	0.03314781290924632
344.3326	0.051150625722324046
344.5005	0.051101317175629955
344.6683	0.03669714463878276
344.8362	0.03846369646317215
345.004	0.03570127001172877
345.1719	0.03731183985303093
345.3397	0.032104356573392716
345.5075	0.03657501797393982
345.6754	0.02032646460810498
345.8432	0.016627040882772483
346.011	0.03074636754117141
346.1788	0.029174057327586878
346.3466	0.03195299367367778
346.5144	0.03558807732276726
346.6822	0.031148814673124362
346.85	0.035897809421753295
347.0178	0.02456568678945771
347.1856	0.03205805350423037
347.3534	0.02441092331990245
347.5211	0.0291658958041628
347.6889	0.03237168790441678
347.8567	0.03676186277145419
348.0244	0.032588181298578614
348.1922	0.03378562438790606
348.3599	0.040321581366080377
348.5277	0.0260136586848992
348.6954	0.03644593861569718
348.8632	0.03540414857934169
349.0309	0.028423280367406663
349.1986	0.03152407881740166
349.3663	0.03003856508721715
349.5341	0.029158500692031745
349.7018	0.029797638373072123
349.8695	0.03276393937766539
350.0372	0.026189231877658214
350.2049	0.01884685735552596
350.3726	0.023173627392865864
350.5403	0.02369022719455024
350.7079	0.027579133183888615
350.8756	0.031473085996740514
351.0433	0.027749713194650583
351.211	0.029498007481939387
351.3786	0.028670920489346437
351.5463	0.02782193163173562
351.714	0.020859891661036578
351.8816	0.02574996840747655
352.0493	0.025653939757634858
352.2169	0.03326307085541479
352.3846	0.03466838340193588
352.5522	0.03230399911183771
352.7198	0.03336465111374313
352.8875	0.035107730605007006
353.0551	0.03297248942580132
353.2227	0.027510152792109496
353.3903	0.022879235409352362
353.5579	0.022260271339381545
353.7255	0.033233917577536604
353.8931	0.023834018042248547
354.0607	0.026917136316284864
354.2283	0.024088647521637266
354.3958	0.025452073372387876
354.5634	0.023725789642018182
354.731	0.02546448745724726
354.8986	0.025729195556505446
355.0661	0.02139740858191634
355.2337	0.027935732611730216
355.4012	0.030589281143504007
355.5688	0.029114549122666224
355.7363	0.028043360165242812
355.9039	0.02676875296901004
356.0714	0.03189705326121329
356.239	0.03138159280597231
356.4065	0.024742323500772875
356.574	0.03896112855861248
356.7415	0.03269331197519434
356.909	0.02995534149343581
357.0765	0.032078918900079224
357.244	0.03446211460021731
357.4115	0.03154926750387929
357.579	0.030546753871755174
357.7465	0.03177552649106511
357.914	0.027601790468053708
358.0815	0.0308434498245794
358.249	0.03189328523996424
358.4164	0.04233747536327023
358.5839	0.03768612620447033
358.7513	0.03902297591653906
358.9188	0.02786849640403106
359.0862	0.016763618645675785
359.2537	0.023754771433216196
359.4211	0.023027577275395936
359.5886	0.01571096588605518
359.756	0.014536455671048935
359.9234	0.021605815075139697
360.0909	0.022929700743104586
360.2583	0.024704416386512263
360.4257	0.02373605419533933
360.5931	0.0291217826575278
360.7605	0.027484695221129275
360.9279	0.0320833755920459
361.0953	0.034936207796314483
361.2627	0.028325789062832358
361.4301	0.03106698919371689
361.5974	0.024999502986042654
361.7648	0.026747643577770347
361.9322	0.027386972062346353
362.0995	0.02876935050064916
362.2669	0.021616937878777085
362.4343	0.023234277112008834
362.6016	0.02740538955995991
362.769	0.021674333594372572
362.9363	0.030137554966400037
363.1036	0.025884145989958824
363.271	0.029217943689162376
363.4383	0.02369734920401323
363.6056	0.025579771307490153
363.7729	0.025028490445520836
363.9402	0.028819000980659395
364.1075	0.028413973812173685
364.2748	0.028957239819274543
364.4421	0.028616901323624478
364.6094	0.027967375653139108
364.7767	0.027496462816198625
364.944	0.023844604785651733
365.1113	0.029799626179258455
365.2786	0.029839457267110164
365.4458	0.024124497479374313
365.6131	0.023412907855135442
365.7803	0.02510998308977766
365.9476	0.020286778634853807
366.1148	0.021181444834740923
366.2821	0.0239767356284787
366.4493	0.023880081359765586
366.6166	0.022961911614512436
366.7838	0.02236662555905434
366.951	0.021307968865310445
367.1182	0.01983286211160363
367.2855	0.024793774185128882
367.4527	0.02122911337407098
367.6199	0.019338372994869322
367.7871	0.02205094265273777
