Wavelength	Reflectance
334.421	0.07794512996405448
334.5891	0.08694069658191247
334.7573	0.07742358101065948
334.9254	0.07852560206592434
335.0935	0.0768669276323403
335.2616	0.09214789127499799
335.4297	0.07974843813611365
335.5978	0.0780423301116152
335.7659	0.10320429971054129
335.934	0.10052501765024209
336.1021	0.09882286129269167
336.2701	0.09364559468973403
336.4382	0.10444034935489224
336.6063	0.09579956973797057
336.7744	0.10930001697630091
336.9424	0.10912224213031323
337.1105	0.11279351627524342
337.2785	0.0962561090823875
337.4466	0.09514450887590209
337.6146	0.09238031527046248
337.7827	0.09329612617102724
337.9507	0.08258734187021032
338.1187	0.08740585102759436
338.2867	0.08762604313060335
338.4548	0.08671469391590392
338.6228	0.07612113238798654
338.7908	0.07381487847563573
338.9588	0.08175034068636386
339.1268	0.07414966741046809
339.2948	0.08270582843445361
339.4628	0.08880197540181908
339.6308	0.0756081425768913
339.7988	0.07854523311132255
339.9667	0.07720018144431859
340.1347	0.07927739265377776
340.3027	0.07645628143101346
340.4707	0.0813048640902669
340.6386	0.08374148047264221
340.8066	0.0764839077372879
340.9745	0.07751904839013493
341.1425	0.08406178027437194
341.3104	0.08686887318235478
341.4784	0.07953611378162148
341.6463	0.06879567024205867
341.8142	0.07320213006018327
341.9821	0.07474669997522027
342.1501	0.07858998449575279
342.318	0.07192532427386528
342.4859	0.08276848921357222
342.6538	0.07414188227786953
342.8217	0.07790860381703052
342.9896	0.08074145842576823
343.1575	0.07240164202612079
343.3254	0.07677666359132233
343.4933	0.08127608619546865
343.6612	0.07572805846550672
343.829	0.08816492058663875
343.9969	0.10547161731157528
344.1648	0.1175620451576787
344.3326	0.11151778108590348
344.5005	0.10079952354315322
344.6683	0.07842012268602047
344.8362	0.07335478977811126
345.004	0.08255326082075039
345.1719	0.07866304260046887
345.3397	0.08165788706203912
345.5075	0.08368339136112049
345.6754	0.08390601066810568
345.8432	0.08779523196339067
346.011	0.0887533627077075
346.1788	0.08807593426613522
346.3466	0.08346109939810142
346.5144	0.07199532835519816
346.6822	0.0868300148891307
346.85	0.0887427504884339
347.0178	0.06817935006349743
347.1856	0.07454757278030176
347.3534	0.0781603119081963
347.5211	0.08823172842931737
347.6889	0.0827518485742768
347.8567	0.08150592926467097
348.0244	0.07505506640414072
348.1922	0.07481645077256732
348.3599	0.08510080364743396
348.5277	0.09135279297111984
348.6954	0.07298495956873317
348.8632	0.07373244105340429
349.0309	0.07483675585082578
349.1986	0.07834137570777816
349.3663	0.07572320123148066
349.5341	0.0709495148005646
349.7018	0.07193496215143912
349.8695	0.06754203200597073
350.0372	0.06461844612246495
350.2049	0.06246522859999926
350.3726	0.0646579956259082
350.5403	0.06379527195706645
350.7079	0.0661780302517236
350.8756	0.06187828250769583
351.0433	0.07097894548916305
351.211	0.074667605893303
351.3786	0.07671789175828454
351.5463	0.08054667461022484
351.714	0.07874833405528348
351.8816	0.06611169052766683
352.0493	0.07779024050386521
352.2169	0.07588740677669577
352.3846	0.0819634085151832
352.5522	0.07550911635644018
352.7198	0.08329352221712105
352.8875	0.07685411750123702
353.0551	0.07227082585806233
353.2227	0.07672346611298245
353.3903	0.07154476806210128
353.5579	0.06600332955591695
353.7255	0.07015581114239726
353.8931	0.07084247663773582
354.0607	0.07338640245058317
354.2283	0.06352479984155583
354.3958	0.07430569422679642
354.5634	0.07404771999819999
354.731	0.07729184633586014
354.8986	0.07196749597760385
355.0661	0.06597142848789592
355.2337	0.06972456764702906
355.4012	0.0743932029796004
355.5688	0.07854483394783696
355.7363	0.07099519207969088
355.9039	0.06924790262432748
356.0714	0.0732943368350058
356.239	0.08161108075604698
356.4065	0.0760308437468054
356.574	0.0863604040966095
356.7415	0.08339521474041543
356.909	0.08777327275000436
357.0765	0.08054302121670107
357.244	0.08223239896092008
357.4115	0.08116468473544416
357.579	0.08093790009322942
357.7465	0.07237514239525156
357.914	0.07321100698192189
358.0815	0.08139487392284782
358.249	0.09657835229878574
358.4164	0.09653858415022007
358.5839	0.09536756860918233
358.7513	0.08145374458384286
358.9188	0.07610877457555995
359.0862	0.06780628668639999
359.2537	0.06748370776142772
359.4211	0.06764217238793793
359.5886	0.06577015101206614
359.756	0.06583093723550766
359.9234	0.065961413945575
360.0909	0.06738550013378075
360.2583	0.06763697027757105
360.4257	0.07354778015057403
360.5931	0.07255031719671758
360.7605	0.0809951898484685
360.9279	0.07638087491834168
361.0953	0.06873904504895824
361.2627	0.07066709708805698
361.4301	0.07415625581604465
361.5974	0.07286001651524823
361.7648	0.07562907262407459
361.9322	0.07185257320648598
362.0995	0.07530287454298269
362.2669	0.07343268510564908
362.4343	0.0715664727741075
362.6016	0.06615353677787057
362.769	0.06890590593026043
362.9363	0.06733512145111353
363.1036	0.06625977413366584
363.271	0.07407398328496759
363.4383	0.07507634329019768
363.6056	0.06940925367953239
363.7729	0.0681486568942537
363.9402	0.06731742253786117
364.1075	0.06286207762886858
364.2748	0.06643181285125749
364.4421	0.0757629691883826
364.6094	0.06908922804925063
364.7767	0.074321147224175
364.944	0.07395827110830373
365.1113	0.06742619746193615
365.2786	0.06440624859649632
365.4458	0.06490104240241547
365.6131	0.061598193408590005
365.7803	0.06176019410736185
365.9476	0.06148825941207628
366.1148	0.056707113281899126
366.2821	0.060594407701462856
366.4493	0.06344994409684483
366.6166	0.0607718609088431
366.7838	0.06159330211829488
366.951	0.06308673163693276
367.1182	0.06445009551347786
367.2855	0.061063807054850136
367.4527	0.06223574178432573
367.6199	0.06691292359771414
367.7871	0.06899885180944539
